2025年御宿共同打ち上げ実験　AチームログSTART																				
経過時間	温度	気圧	高度	湿度	加速度x	加速度y	加速度z	重力x	重力y	重力z	温度	ジャイロ	加速度	地磁気	緯度	経度	高度	離床時間	解放信号出力時間	解放検出時間
2000年0月0日	0時0分0																			
5750	18.59	1029.72	-136.27	53.74	0.67	-0.52	9.27	0.5	-0.63	9.77	18	0	0	0	0	0	0	0	0	0
5851	18.62	1029.73	-136.34	53.76	0.64	-0.56	9.23	0.53	-0.63	9.77	18	0	0	0	0	0	0	0	0	0
5901	18.65	1029.79	-136.83	53.74	0.59	-0.45	9.29	0.56	-0.62	9.77	18	0	0	0	0	0	0	0	0	0
5951	18.65	1029.79	-136.83	53.74																
6001	18.66	1029.75	-136.45	53.71	0.77	-0.47	9.39	0.59	-0.6	9.76	18	0	0	0	0	0	0	0	0	0
6051	18.66	1029.75	-136.45	53.71																
6151	18.58	1029.63	-135.47	53.68	0.61	-0.34	9.41	0.62	-0.58	9.76	18	0	0	0	0	0	0	0	0	0
6201	18.6	1029.65	-135.65	53.74																
6251	18.6	1029.65	-135.65	53.74	0.68	-0.49	9.46	0.62	-0.56	9.77	18	0	0	0	0	0	0	0	0	0
6301	18.69	1029.85	-137.29	53.69																
6351	18.69	1029.85	-137.29	53.69																
6401	18.7	1029.85	-137.29	53.78	0.57	-0.28	9.51	0.62	-0.53	9.77	18	0	0	0	0	0	0	0	0	0
6451	18.7	1029.85	-137.29	53.78																
6501	18.7	1029.81	-136.96	53.7	0.71	-0.39	9.6	0.62	-0.51	9.77	18	0	0	0	0	0	0	0	0	0
6551	18.7	1029.81	-135.83	53.73																
6601	18.61	1029.67	-135.83	53.73	0.58	-0.45	9.63	0.6	-0.5	9.77	18	0	0	0	0	0	0	0	0	0
6651	18.61	1029.67	-135.83	53.73	0.52	-0.49	9.57	0.59	-0.5	9.77	18	0	0	0	0	0	0	0	0	0
